,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,img_seg_path,str_code,Unnamed: 0.1,Unnamed: 0,year,month,day,hour,minute,path_dyamond,UTC
538,538.0,538.0,538,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-17.nc,2016-9-7-8-30,1792,1792,2016,9,7,8,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000430320,17051.17
539,539.0,539.0,539,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-22.nc,2016-9-7-11-0,1797,1797,2016,9,7,11,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000431520,17051.22
540,540.0,540.0,540,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-32.nc,2016-9-7-16-0,1807,1807,2016,9,7,16,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000433920,17051.32
541,541.0,541.0,541,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-45.nc,2016-9-7-22-30,1820,1820,2016,9,7,22,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000437040,17051.45
542,542.0,542.0,542,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-25.nc,2016-9-7-12-30,1800,1800,2016,9,7,12,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000432240,17051.25
543,543.0,543.0,543,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-01.nc,2016-9-7-0-30,1776,1776,2016,9,7,0,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000426480,17051.01
544,544.0,544.0,544,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-24.nc,2016-9-7-12-0,1799,1799,2016,9,7,12,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000432000,17051.24
545,545.0,545.0,545,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-04.nc,2016-9-7-2-0,1779,1779,2016,9,7,2,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000427200,17051.04
546,546.0,546.0,546,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-09.nc,2016-9-7-4-30,1784,1784,2016,9,7,4,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000428400,17051.09
547,547.0,547.0,547,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-27.nc,2016-9-7-13-30,1802,1802,2016,9,7,13,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000432720,17051.27
548,548.0,548.0,548,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_09_07/ImageSegTOOCAN_20160907-31.nc,2016-9-7-15-30,1806,1806,2016,9,7,15,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000433680,17051.31
